,name,score,loc,scale,arg,params,model,bootstrap_score,bootstrap_pass,color
0,powerlognorm,4.967911080286367e-09,-33.38713828319701,257.41250778391003,"(0.08765066371044608, 1.0018942620478413)","(0.08765066371044608, 1.0018942620478413, -33.38713828319701, 257.41250778391003)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febcf36dfd0>,0,,#e41a1c
1,lognorm,7.303789391514508e-09,-0.11391367692277611,9656.598374650848,"(2.3804364903581736,)","(2.3804364903581736, -0.11391367692277611, 9656.598374650848)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febcf361410>,0,,#e41a1c
2,pareto,1.1315747369468245e-08,-3401.5253467891953,3402.525346789195,"(0.5464479455054979,)","(0.5464479455054979, -3401.5253467891953, 3402.525346789195)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febcf35ffd0>,0,,#377eb8
3,t,1.1616489038646867e-08,967.7320321604922,1910.4731256264167,"(0.3425784970276795,)","(0.3425784970276795, 967.7320321604922, 1910.4731256264167)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febf00e7250>,0,,#377eb8
4,gamma,1.6089721559549102e-08,0.9999999999999998,44052.82581298864,"(0.5678897352687025,)","(0.5678897352687025, 0.9999999999999998, 44052.82581298864)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febcf357d10>,0,,#4daf4a
5,powerlaw,1.669444153975916e-08,0.9999999999999999,204672.00000000003,"(0.32705460718384244,)","(0.32705460718384244, 0.9999999999999999, 204672.00000000003)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febcf36da50>,0,,#984ea3
6,genextreme,2.060336159262839e-08,4.3068744908848124,20.129178663396587,"(-6.087030530829812,)","(-6.087030530829812, 4.3068744908848124, 20.129178663396587)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febcf362310>,0,,#984ea3
7,beta,2.1807218397239432e-08,0.9999999999999999,204806.66403946138,"(0.44350990083097985, 1.2076106824000812)","(0.44350990083097985, 1.2076106824000812, 0.9999999999999999, 204806.66403946138)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febcf35fd90>,0,,#ff7f00
8,expon,3.6491207124283664e-08,1.0,47569.80219719148,(),"(1.0, 47569.80219719148)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febcf34d690>,0,,#ff7f00
9,laplace,4.14436701888924e-08,14793.0,44330.53768414296,(),"(14793.0, 44330.53768414296)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febcf37d410>,0,,#ffff33
10,maxwell,4.325521138886476e-08,-71820.30995881962,76845.46239482058,(),"(-71820.30995881962, 76845.46239482058)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febcf370a90>,0,,#a65628
11,logistic,4.336575741876526e-08,37973.10060539457,32994.637767876564,(),"(37973.10060539457, 32994.637767876564)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febf00e7310>,0,,#a65628
12,dweibull,4.345103905483112e-08,70140.51323287292,64293.16536370336,"(2.2980236979094952,)","(2.2980236979094952, 70140.51323287292, 64293.16536370336)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febcf360310>,0,,#f781bf
13,norm,4.375745003990148e-08,47570.80219719148,58833.9810747168,(),"(47570.80219719148, 58833.9810747168)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febf1445390>,0,,#f781bf
14,uniform,4.408785803782029e-08,1.0,204672.0,(),"(1.0, 204672.0)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febcf36e210>,0,,#999999
15,powernorm,,-42060.71569771526,336.6737057492105,"(1.9679539955177554e-05,)","(1.9679539955177554e-05, -42060.71569771526, 336.6737057492105)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febf0b9c590>,0,,#999999
