   ,name         ,score                  ,loc                 ,scale                    ,arg                                        ,params                                                                             ,model                                                                             ,bootstrap_score ,bootstrap_pass ,color
 0 ,lognorm      ,5.7759875091990967e-08 ,-4.551298755677167  ,     5024.638869027135   ,"(2.1871830415933924,)"                    ,"(2.1871830415933924, -4.551298755677167, 5024.638869027135)"                      ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febd3382c50> ,              0 ,               ,#e41a1c
 1 ,powerlognorm ,5.797143116763507e-08  ,0.7410640618133728  ,181061734.6705214        ,"(50.91526754776058, 4.661462331784976)"   ,"(50.91526754776058, 4.661462331784976, 0.7410640618133728, 181061734.6705214)"    ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febefe1e0d0> ,              0 ,               ,#e41a1c
 2 ,gamma        ,7.036948118417408e-08  ,0.9999999999999998  ,    37880.836956498024   ,"(0.4885470002484963,)"                    ,"(0.4885470002484963, 0.9999999999999998, 37880.836956498024)"                     ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febce8b6610> ,              0 ,               ,#377eb8
 3 ,powerlaw     ,7.835309916273952e-08  ,0.9999999999999999  ,   153276.00000000003    ,"(0.2851207236895471,)"                    ,"(0.2851207236895471, 0.9999999999999999, 153276.00000000003)"                     ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febd33821d0> ,              0 ,               ,#377eb8
 4 ,pareto       ,8.43304387155571e-08   ,-4124.0358721624125 ,     4125.035872162412   ,"(0.8103013210457232,)"                    ,"(0.8103013210457232, -4124.0358721624125, 4125.035872162412)"                     ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febd3387fd0> ,              0 ,               ,#4daf4a
 5 ,dweibull     ,8.437797938024562e-08  ,182.00000000000006  ,    42104.53627418567    ,"(0.521025858607242,)"                     ,"(0.521025858607242, 182.00000000000006, 42104.53627418567)"                       ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febd336fc90> ,              0 ,               ,#984ea3
 6 ,beta         ,8.581156074080936e-08  ,0.9999999999999999  ,   225413.78110037246    ,"(0.2876152722838806, 1.1007243296199798)" ,"(0.2876152722838806, 1.1007243296199798, 0.9999999999999999, 225413.78110037246)" ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febd337a510> ,              0 ,               ,#984ea3
 7 ,genextreme   ,9.252672763289775e-08  ,4.2601382972577095  ,       18.55012317396848 ,"(-5.689866095697397,)"                    ,"(-5.689866095697397, 4.2601382972577095, 18.55012317396848)"                      ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febd3386210> ,              0 ,               ,#ff7f00
 8 ,t            ,1.5235958402793363e-07 ,2730.9017323612225  ,     3462.795440879761   ,"(0.6289853366363647,)"                    ,"(0.6289853366363647, 2730.9017323612225, 3462.795440879761)"                      ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febce90b790> ,              0 ,               ,#ff7f00
 9 ,expon        ,1.710196183591027e-07  ,1.0                 ,    22822.161396025156   ,()                                         ,"(1.0, 22822.161396025156)"                                                        ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febd3382cd0> ,              0 ,               ,#ffff33
10 ,laplace      ,1.9961062445960425e-07 ,4854.0              ,    20907.144333384884   ,()                                         ,"(4854.0, 20907.144333384884)"                                                     ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febd3374650> ,              0 ,               ,#a65628
11 ,logistic     ,2.190433069915253e-07  ,15279.183933481565  ,    16299.292986251861   ,()                                         ,"(15279.183933481565, 16299.292986251861)"                                         ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febd338d5d0> ,              0 ,               ,#a65628
12 ,maxwell      ,2.2319490532546752e-07 ,-43785.616766821695 ,    43424.118962463304   ,()                                         ,"(-43785.616766821695, 43424.118962463304)"                                        ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febd3380a90> ,              0 ,               ,#f781bf
13 ,norm         ,2.2775182830393863e-07 ,22823.161396025156  ,    34931.83394001755    ,()                                         ,"(22823.161396025156, 34931.83394001755)"                                          ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febcea22c90> ,              0 ,               ,#f781bf
14 ,uniform      ,2.397425134444121e-07  ,1.0                 ,   153276.0              ,()                                         ,"(1.0, 153276.0)"                                                                  ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febd3386190> ,              0 ,               ,#999999
15 ,powernorm    ,                       ,-26142.30686665221  ,      171.65232643679576 ,"(1.626307499885226e-05,)"                 ,"(1.626307499885226e-05, -26142.30686665221, 171.65232643679576)"                  ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febd3385850> ,              0 ,               ,#999999
