   ,name         ,score                  ,loc                 ,scale                  ,arg                                         ,params                                                                              ,model                                                                             ,bootstrap_score ,bootstrap_pass ,color
 0 ,gamma        ,4.2473401810367324e-08 ,0.9999999999999998  , 6256.604003938524     ,"(0.6605830280185814,)"                     ,"(0.6605830280185814, 0.9999999999999998, 6256.604003938524)"                       ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febe3c6e490> ,              0 ,               ,#e41a1c
 1 ,beta         ,4.489450738761211e-08  ,0.9999999999999999  ,20980.00088964683      ,"(0.5788973310806832, 2.4638603211559524)"  ,"(0.5788973310806832, 2.4638603211559524, 0.9999999999999999, 20980.00088964683)"   ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febe3ca9510> ,              0 ,               ,#e41a1c
 2 ,powerlaw     ,6.463403784322359e-08  ,0.9999999999999999  ,16527.000000000004     ,"(0.4317229892939565,)"                     ,"(0.4317229892939565, 0.9999999999999999, 16527.000000000004)"                      ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febd30ca590> ,              0 ,               ,#377eb8
 3 ,lognorm      ,6.620405534810151e-08  ,-44.58722103972769  , 1839.072875086526     ,"(1.5010218174412135,)"                     ,"(1.5010218174412135, -44.58722103972769, 1839.072875086526)"                       ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febd310b290> ,              0 ,               ,#377eb8
 4 ,pareto       ,1.2295464765653857e-07 ,-19231.79008351339  ,19232.790083513388     ,"(5.69997408561057,)"                       ,"(5.69997408561057, -19231.79008351339, 19232.790083513388)"                        ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febd2f52390> ,              0 ,               ,#4daf4a
 5 ,powerlognorm ,1.4381763761122e-07    ,0.9623976230979396  ,    1.7304590521749905 ,"(0.04602483947074829, 1.1471171626175491)" ,"(0.04602483947074829, 1.1471171626175491, 0.9623976230979396, 1.7304590521749905)" ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febe3caee90> ,              0 ,               ,#984ea3
 6 ,expon        ,1.5553928437101504e-07 ,1.0                 , 4042.017315337937     ,()                                          ,"(1.0, 4042.017315337937)"                                                          ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febd2f74310> ,              0 ,               ,#984ea3
 7 ,genextreme   ,2.161065631210838e-07  ,3.850230536482311   ,   13.93661549827442   ,"(-4.888919029362035,)"                     ,"(-4.888919029362035, 3.850230536482311, 13.93661549827442)"                        ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febe3caa310> ,              0 ,               ,#ff7f00
 8 ,laplace      ,3.575033335421547e-07  ,2226.0              , 3266.5706319313663    ,()                                          ,"(2226.0, 3266.5706319313663)"                                                      ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febe3c5db90> ,              0 ,               ,#ff7f00
 9 ,dweibull     ,3.69966895903138e-07   ,2917.4325860857834  , 3511.19502258597      ,"(1.1904302501460875,)"                     ,"(1.1904302501460875, 2917.4325860857834, 3511.19502258597)"                        ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febe3cafc90> ,              0 ,               ,#ffff33
10 ,t            ,3.8633718340793806e-07 ,3114.004300005281   , 3331.0013602212475    ,"(4.3111014836287085,)"                     ,"(4.3111014836287085, 3114.004300005281, 3331.0013602212475)"                       ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febd2f51b90> ,              0 ,               ,#a65628
11 ,maxwell      ,3.888739503570962e-07  ,-4708.8078533101625 , 5627.4192825452665    ,()                                          ,"(-4708.8078533101625, 5627.4192825452665)"                                         ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febd30caf90> ,              0 ,               ,#a65628
12 ,logistic     ,3.9596313055915967e-07 ,3389.727743096651   , 2365.942550222389     ,()                                          ,"(3389.727743096651, 2365.942550222389)"                                            ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febe3cad5d0> ,              0 ,               ,#f781bf
13 ,norm         ,4.155897162337526e-07  ,4043.017315337937   , 4290.582504084982     ,()                                          ,"(4043.017315337937, 4290.582504084982)"                                            ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febd2ee4f90> ,              0 ,               ,#f781bf
14 ,uniform      ,4.640196358603101e-07  ,1.0                 ,16527.0                ,()                                          ,"(1.0, 16527.0)"                                                                    ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febe3c87dd0> ,              0 ,               ,#999999
15 ,powernorm    ,                       ,-2196.74971038525   ,   15.724732128941653  ,"(8.615789754336402e-06,)"                  ,"(8.615789754336402e-06, -2196.74971038525, 15.724732128941653)"                    ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febe3c84e50> ,              0 ,               ,#999999
