,name,score,loc,scale,arg,params,model,bootstrap_score,bootstrap_pass,color
0,dweibull,2.0400090077944264e-05,243.00000000000006,1701.2667749824095,"(0.5262526226304431,)","(0.5262526226304431, 243.00000000000006, 1701.2667749824095)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febe3bafc90>,0,,#e41a1c
1,t,2.1446905576480375e-05,234.84142256206104,106.19684921960726,"(0.36535396487771965,)","(0.36535396487771965, 234.84142256206104, 106.19684921960726)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febe3b99ad0>,0,,#e41a1c
2,powerlognorm,2.6542546930053477e-05,-20.68262726000527,34.86123541515539,"(0.01688311535351225, 0.3519861941236233)","(0.01688311535351225, 0.3519861941236233, -20.68262726000527, 34.86123541515539)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febe3acaa50>,0,,#377eb8
3,pareto,2.67928670847603e-05,-388.84576533729086,389.8457653372908,"(0.6901126943354385,)","(0.6901126943354385, -388.84576533729086, 389.8457653372908)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febd2f0e210>,0,,#377eb8
4,lognorm,2.757947749259211e-05,-0.5932967914583205,808.7013050884292,"(1.9873671880000185,)","(1.9873671880000185, -0.5932967914583205, 808.7013050884292)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febdb1d8090>,0,,#4daf4a
5,beta,2.8745288655042448e-05,0.9999999999999999,678264.8818477776,"(0.6209163154972581, 210.52780274892902)","(0.6209163154972581, 210.52780274892902, 0.9999999999999999, 678264.8818477776)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febe3b79750>,0,,#984ea3
6,gamma,3.264983668120486e-05,0.9999999999999999,49584.41588455815,"(0.28157494398881033,)","(0.28157494398881033, 0.9999999999999999, 49584.41588455815)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febe3c6d190>,0,,#984ea3
7,powerlaw,3.360786924012014e-05,0.9999999999999999,82034.00000000001,"(0.20889796629344404,)","(0.20889796629344404, 0.9999999999999999, 82034.00000000001)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febe06cb790>,0,,#ff7f00
8,expon,3.6372912613099494e-05,1.0,5898.424754308305,(),"(1.0, 5898.424754308305)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febdb1d7090>,0,,#ff7f00
9,laplace,3.813354552578039e-05,594.0,5664.142644735377,(),"(594.0, 5664.142644735377)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febdb1d5dd0>,0,,#ffff33
10,logistic,3.947872381860193e-05,2618.8044309414586,4898.27153011748,(),"(2618.8044309414586, 4898.27153011748)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febe3b7a590>,0,,#a65628
11,maxwell,4.0080870098133885e-05,-19513.94064692551,16832.070906635105,(),"(-19513.94064692551, 16832.070906635105)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febe3acaf90>,0,,#a65628
12,norm,4.0306268322812425e-05,5899.424754308305,14286.940436396655,(),"(5899.424754308305, 14286.940436396655)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febe3b9b650>,0,,#f781bf
13,uniform,4.09480301444482e-05,1.0,82034.0,(),"(1.0, 82034.0)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febe4485810>,0,,#f781bf
14,genextreme,4.6209181294477095e-05,4.0551678962273705,13.54410523940935,"(-4.430743050848008,)","(-4.430743050848008, 4.0551678962273705, 13.54410523940935)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febdb1d29d0>,0,,#999999
15,powernorm,,-12400.832070454802,59.428129154369884,"(1.3093769023042693e-05,)","(1.3093769023042693e-05, -12400.832070454802, 59.428129154369884)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7febe4499110>,0,,#999999
