,name,score,loc,scale,arg,params,model,bootstrap_score,bootstrap_pass,color
0,powerlaw,1.025971918805751e-11,0.9999999999999999,26111.000000000004,"(0.9200109488572684,)","(0.9200109488572684, 0.9999999999999999, 26111.000000000004)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708284748750>,0,,#e41a1c
1,beta,2.1006379922447632e-10,0.9999999999999947,26111.240065647613,"(0.8505395749237528, 0.9890139435771843)","(0.8505395749237528, 0.9890139435771843, 0.9999999999999947, 26111.240065647613)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70828138d210>,0,,#e41a1c
2,uniform,3.434519500270649e-10,1.0,26111.0,(),"(1.0, 26111.0)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708282b77690>,0,,#377eb8
3,maxwell,6.102857608714423e-09,-5318.996698915043,11179.906566926877,(),"(-5318.996698915043, 11179.906566926877)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708281377a50>,0,,#377eb8
4,lognorm,6.581869987338155e-09,-59213.3023738816,71286.29634876382,"(0.10677353142490519,)","(0.10677353142490519, -59213.3023738816, 71286.29634876382)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708281389210>,0,,#4daf4a
5,gamma,6.603928706636959e-09,-126948.16353893216,418.37473060664297,"(333.24423033130006,)","(333.24423033130006, -126948.16353893216, 418.37473060664297)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70828138b350>,0,,#984ea3
6,dweibull,6.650272785567493e-09,12622.50217240896,7306.713166330029,"(1.630707211741424,)","(1.630707211741424, 12622.50217240896, 7306.713166330029)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7082813833d0>,0,,#984ea3
7,t,6.708740507244448e-09,12479.228600587085,7628.394491067815,"(10764822.0702978,)","(10764822.0702978, 12479.228600587085, 7628.394491067815)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7082813823d0>,0,,#ff7f00
8,norm,6.709613043985155e-09,12479.406957539055,7628.090540373199,(),"(12479.406957539055, 7628.090540373199)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7082822ce2d0>,0,,#ff7f00
9,logistic,7.719009896685748e-09,12385.373111833282,4640.2823924625545,(),"(12385.373111833282, 4640.2823924625545)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7082813a30d0>,0,,#ffff33
10,pareto,9.053959995490175e-09,-4398046511103.0,4398046511103.9995,"(352452563.42738384,)","(352452563.42738384, -4398046511103.0, 4398046511103.9995)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70828c1e8050>,0,,#a65628
11,expon,9.053960976765316e-09,1.0,12478.406957539055,(),"(1.0, 12478.406957539055)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708281384290>,0,,#a65628
12,laplace,1.2346558910715203e-08,12217.5,6613.587605808272,(),"(12217.5, 6613.587605808272)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708282601690>,0,,#f781bf
13,powerlognorm,1.6337706577847838e-08,-2353.474317800171,697.2241685887548,"(2.0032406118337622e-05, 0.009349484967698364)","(2.0032406118337622e-05, 0.009349484967698364, -2353.474317800171, 697.2241685887548)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708281391b90>,0,,#f781bf
14,genextreme,3.7410448595645645e-08,4.300869423859099,19.691368758485247,"(-5.965454043700925,)","(-5.965454043700925, 4.300869423859099, 19.691368758485247)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70828138b750>,0,,#999999
15,powernorm,,-2036.0334198541636,71.4531327436807,"(3.801266623070163e-05,)","(3.801266623070163e-05, -2036.0334198541636, 71.4531327436807)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7082808a55d0>,0,,#999999
