,name,score,loc,scale,arg,params,model,bootstrap_score,bootstrap_pass,color
0,lognorm,1.378191179044348e-11,-255.98934756749634,187226.38377501015,"(1.9349786295832188,)","(1.9349786295832188, -255.98934756749634, 187226.38377501015)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70825fb7a8d0>,0,,#e41a1c
1,gamma,3.0357974745408735e-11,0.5085759032329525,1158658.375616144,"(0.5281395853684767,)","(0.5281395853684767, 0.5085759032329525, 1158658.375616144)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708280111550>,0,,#e41a1c
2,powerlaw,3.383814313188841e-11,0.9999999999999999,2146056.0000000005,"(0.4080323204109871,)","(0.4080323204109871, 0.9999999999999999, 2146056.0000000005)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70825fb7e0d0>,0,,#377eb8
3,pareto,3.488988646455885e-11,-206420.49040993676,206421.49040993673,"(0.9827893822245438,)","(0.9827893822245438, -206420.49040993676, 206421.49040993673)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708280953090>,0,,#377eb8
4,beta,5.057284440587566e-11,0.9999999999999999,2146102.2926170863,"(0.44334960225152875, 0.7698335258815061)","(0.44334960225152875, 0.7698335258815061, 0.9999999999999999, 2146102.2926170863)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7082800f2550>,0,,#4daf4a
5,t,5.1649062662137076e-11,47638.34167023884,65476.36754502467,"(0.4711611832506671,)","(0.4711611832506671, 47638.34167023884, 65476.36754502467)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7082854e3810>,0,,#984ea3
6,powerlognorm,5.515047624047614e-11,-921.5683156305588,42.34551286172962,"(1.1729316800272317e-05, 0.020864087482562653)","(1.1729316800272317e-05, 0.020864087482562653, -921.5683156305588, 42.34551286172962)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70828013ec10>,0,,#984ea3
7,genextreme,8.659288041394839e-11,4.477479418937946,28.394523240830086,"(-8.165259782843915,)","(-8.165259782843915, 4.477479418937946, 28.394523240830086)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708280982c50>,0,,#ff7f00
8,expon,9.803760476753704e-11,1.0,617617.6157159568,(),"(1.0, 617617.6157159568)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70825fb77bd0>,0,,#ff7f00
9,laplace,1.333533155567721e-10,236687.0,557578.8340917784,(),"(236687.0, 557578.8340917784)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70828096c990>,0,,#ffff33
10,dweibull,1.369507101722283e-10,789591.5005320566,724353.8758238133,"(2.3474314126056224,)","(2.3474314126056224, 789591.5005320566, 724353.8758238133)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708280157b90>,0,,#a65628
11,uniform,1.4165142076222157e-10,1.0,2146056.0,(),"(1.0, 2146056.0)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70825fb74ed0>,0,,#a65628
12,maxwell,1.4239476097842854e-10,-810244.1221930344,914947.8300934967,(),"(-810244.1221930344, 914947.8300934967)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70828096fa90>,0,,#f781bf
13,logistic,1.4433510586494854e-10,525578.5783896347,404333.7826037902,(),"(525578.5783896347, 404333.7826037902)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7082808aaa50>,0,,#f781bf
14,norm,1.457871073928702e-10,617618.6157159568,687456.6351299097,(),"(617618.6157159568, 687456.6351299097)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708280911cd0>,0,,#999999
15,powernorm,,-464392.80533575267,3768.323114114103,"(1.7263361784132512e-05,)","(1.7263361784132512e-05, -464392.80533575267, 3768.323114114103)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7082822ce1d0>,0,,#999999
