,name,score,loc,scale,arg,params,model,bootstrap_score,bootstrap_pass,color
0,powerlaw,1.4230550269844968e-05,0.9999999999999999,5793.000000000001,"(0.7350243508148506,)","(0.7350243508148506, 0.9999999999999999, 5793.000000000001)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70826f37d5d0>,0,,#e41a1c
1,beta,1.423779123269521e-05,0.9999999999988536,5843.311390698574,"(0.8600317088730833, 0.949727993577901)","(0.8600317088730833, 0.949727993577901, 0.9999999999988536, 5843.311390698574)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70826f36fa90>,0,,#e41a1c
2,uniform,1.4394942530519545e-05,1.0,5793.0,(),"(1.0, 5793.0)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70826f388c50>,0,,#377eb8
3,pareto,1.4823104241946015e-05,-548208769745.35876,548208769746.3587,"(199091918.79150245,)","(199091918.79150245, -548208769745.35876, 548208769746.3587)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70826f37b090>,0,,#377eb8
4,expon,1.4823104251740396e-05,1.0,2753.546068616247,(),"(1.0, 2753.546068616247)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70825f9ec290>,0,,#4daf4a
5,genextreme,1.4855163528325529e-05,736.2315110856828,3761.66180515645,"(0.7437341894090723,)","(0.7437341894090723, 736.2315110856828, 3761.66180515645)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70826f37a510>,0,,#984ea3
6,maxwell,1.5058685840515104e-05,-1484.5010929277607,2665.4251224839572,(),"(-1484.5010929277607, 2665.4251224839572)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70824d09a790>,0,,#984ea3
7,dweibull,1.5094299683256155e-05,2282.555073356694,1793.2865563902596,"(1.5933281528329806,)","(1.5933281528329806, 2282.555073356694, 1793.2865563902596)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70826f37ad10>,0,,#ff7f00
8,lognorm,1.5096719338295788e-05,-14291.872883570277,16948.06095070204,"(0.10774605258406299,)","(0.10774605258406299, -14291.872883570277, 16948.06095070204)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70826f36e410>,0,,#ff7f00
9,gamma,1.5117339976394865e-05,-59069.48641912633,54.00683928058831,"(1144.725274444705,)","(1144.725274444705, -59069.48641912633, 54.00683928058831)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70824d10af10>,0,,#ffff33
10,norm,1.512228531101543e-05,2754.546068616247,1828.6476164586775,(),"(2754.546068616247, 1828.6476164586775)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70824d07b1d0>,0,,#a65628
11,t,1.5122302407875868e-05,2754.5964450279344,1828.6354323432292,"(312922.163507286,)","(312922.163507286, 2754.5964450279344, 1828.6354323432292)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70826f38a210>,0,,#a65628
12,logistic,1.5186599487642341e-05,2731.6880298163014,1124.7131661426495,(),"(2731.6880298163014, 1124.7131661426495)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7082800f2550>,0,,#f781bf
13,laplace,1.5391424526163137e-05,2701.0,1590.4482571974263,(),"(2701.0, 1590.4482571974263)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70825f9ec990>,0,,#f781bf
14,powerlognorm,1.6763417160477354e-05,-56.03787408792476,46.91725567782731,"(0.00016973587038579324, 0.035482396774857955)","(0.00016973587038579324, 0.035482396774857955, -56.03787408792476, 46.91725567782731)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70824d0f0850>,0,,#999999
15,powernorm,,-469.28846661163675,18.42230826518891,"(4.925152257719711e-05,)","(4.925152257719711e-05, -469.28846661163675, 18.42230826518891)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70824d078790>,0,,#999999
