,name,score,loc,scale,arg,params,model,bootstrap_score,bootstrap_pass,color
0,beta,5.359081441964995e-08,0.9999999999999999,17864.006310168566,"(0.5280776945808431, 1.5228656187116267)","(0.5280776945808431, 1.5228656187116267, 0.9999999999999999, 17864.006310168566)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708281487350>,0,,#e41a1c
1,powerlaw,6.931763624532307e-08,0.9999999999999999,17614.000000000004,"(0.4406414158701184,)","(0.4406414158701184, 0.9999999999999999, 17614.000000000004)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70824d08a790>,0,,#e41a1c
2,lognorm,7.045148829496138e-08,-59.39652976531549,2053.2024563366717,"(1.4141009533188336,)","(1.4141009533188336, -59.39652976531549, 2053.2024563366717)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70826f26b750>,0,,#377eb8
3,gamma,7.097103261436945e-08,0.9999999999999999,3036.258927248022,"(0.9033872589337573,)","(0.9033872589337573, 0.9999999999999999, 3036.258927248022)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708281481550>,0,,#377eb8
4,pareto,8.587831487510468e-08,-16928.70758402658,16929.707584026575,"(4.892639657390497,)","(4.892639657390497, -16928.70758402658, 16929.707584026575)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708281481690>,0,,#4daf4a
5,expon,1.1694465407753862e-07,1.0,4278.4375971925965,(),"(1.0, 4278.4375971925965)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708281486510>,0,,#984ea3
6,powerlognorm,1.5972654520813662e-07,0.9953725457436495,27.254141880960397,"(0.37574972197667855, 2.8574269420212537)","(0.37574972197667855, 2.8574269420212537, 0.9953725457436495, 27.254141880960397)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70826f27e610>,0,,#984ea3
7,genextreme,2.1389195991439833e-07,4.141973157626039,15.394269214346743,"(-4.898763706362216,)","(-4.898763706362216, 4.141973157626039, 15.394269214346743)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70826f24e350>,0,,#ff7f00
8,t,2.592322659362503e-07,2138.083248914748,2261.159195304537,"(1.6087178295534836,)","(1.6087178295534836, 2138.083248914748, 2261.159195304537)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708281481510>,0,,#ff7f00
9,laplace,2.6549952395914724e-07,2102.0,3398.769710314457,(),"(2102.0, 3398.769710314457)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708281484990>,0,,#ffff33
10,dweibull,3.116910408433817e-07,3144.4513229820977,3697.850477511154,"(1.1698787945884717,)","(1.1698787945884717, 3144.4513229820977, 3697.850477511154)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70826f1ec910>,0,,#a65628
11,maxwell,3.303950734663811e-07,-5063.5016399385295,6017.653856211594,(),"(-5063.5016399385295, 6017.653856211594)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70826f259e90>,0,,#a65628
12,logistic,3.318215390411447e-07,3513.262842125995,2511.969329723181,(),"(3513.262842125995, 2511.969329723181)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70824d0a8f10>,0,,#f781bf
13,norm,3.5713268603038347e-07,4279.4375971925965,4620.1686580269625,(),"(4279.4375971925965, 4620.1686580269625)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70824d10af10>,0,,#f781bf
14,uniform,4.010608493230357e-07,1.0,17614.0,(),"(1.0, 17614.0)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70826f26b650>,0,,#999999
15,powernorm,,-2764.500532079206,32.034440191837746,"(2.886389066550035e-05,)","(2.886389066550035e-05, -2764.500532079206, 32.034440191837746)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70826f37d5d0>,0,,#999999
