,name,score,loc,scale,arg,params,model,bootstrap_score,bootstrap_pass,color
0,beta,7.854257747178641e-08,0.9999999999999999,22714.163579620326,"(0.9357576429704562, 1.2318726974666112)","(0.9357576429704562, 1.2318726974666112, 0.9999999999999999, 22714.163579620326)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70827afd7890>,0,,#e41a1c
1,powerlaw,8.466498773224792e-08,0.9999999999999999,22714.000000000004,"(0.8208127548255336,)","(0.8208127548255336, 0.9999999999999999, 22714.000000000004)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70827b40e550>,0,,#e41a1c
2,uniform,9.373126149559454e-08,1.0,22714.0,(),"(1.0, 22714.0)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70827b402790>,0,,#377eb8
3,gamma,1.0530515858112676e-07,-437.9639926045585,5555.542092551539,"(1.8469679604906994,)","(1.8469679604906994, -437.9639926045585, 5555.542092551539)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70825dd91550>,0,,#377eb8
4,pareto,1.138673732364115e-07,-8796093022206.996,8796093022207.995,"(895558041.9697003,)","(895558041.9697003, -8796093022206.996, 8796093022207.995)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708269d13090>,0,,#4daf4a
5,expon,1.1386738724725597e-07,1.0,9821.912837571974,(),"(1.0, 9821.912837571974)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70827b00b310>,0,,#984ea3
6,dweibull,1.1456126422535134e-07,10626.250879058018,6324.486776188347,"(1.7876457742937002,)","(1.7876457742937002, 10626.250879058018, 6324.486776188347)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70826f1a1dd0>,0,,#984ea3
7,lognorm,1.1514414334093683e-07,-11225.721362300637,20057.780664879985,"(0.3141882583402238,)","(0.3141882583402238, -11225.721362300637, 20057.780664879985)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70827b40e9d0>,0,,#ff7f00
8,maxwell,1.1616875305518977e-07,-4784.328301186577,9210.627365025464,(),"(-4784.328301186577, 9210.627365025464)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70824d07a210>,0,,#ff7f00
9,norm,1.2349278793020163e-07,9822.912837571974,6413.6944958301665,(),"(9822.912837571974, 6413.6944958301665)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70827b3c9550>,0,,#ffff33
10,t,1.2349280208855076e-07,9822.912598097864,6413.693575304232,"(2446826.753077207,)","(2446826.753077207, 9822.912598097864, 6413.693575304232)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70827b41f150>,0,,#a65628
11,logistic,1.293059091094729e-07,9598.506854798587,3902.8605778876704,(),"(9598.506854798587, 3902.8605778876704)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70826f1bd690>,0,,#a65628
12,laplace,1.5166493953386347e-07,8850.0,5562.143007829361,(),"(8850.0, 5562.143007829361)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70827b41c990>,0,,#f781bf
13,powerlognorm,5.316951514001583e-07,-83.35368382737641,79.68787339346525,"(3.7642917473483935e-06, 0.006296952035867297)","(3.7642917473483935e-06, 0.006296952035867297, -83.35368382737641, 79.68787339346525)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708269d13550>,0,,#f781bf
14,genextreme,6.902446506327856e-07,4.275282973069391,18.965838194745988,"(-5.790507138447904,)","(-5.790507138447904, 4.275282973069391, 18.965838194745988)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70826f372210>,0,,#999999
15,powernorm,,-1910.7076215887491,47.773889706697844,"(2.5470334302262574e-05,)","(2.5470334302262574e-05, -1910.7076215887491, 47.773889706697844)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708269d10390>,0,,#999999
