,name,score,loc,scale,arg,params,model,bootstrap_score,bootstrap_pass,color
0,beta,2.828628491075889e-06,0.9999999999999997,4008.05443641274,"(0.9812087807923604, 1.0490710950397468)","(0.9812087807923604, 1.0490710950397468, 0.9999999999999997, 4008.05443641274)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708269d59c10>,0,,#e41a1c
1,powerlaw,2.8357017845401266e-06,0.9999999999999999,4008.0000000000005,"(0.9511868424803924,)","(0.9511868424803924, 0.9999999999999999, 4008.0000000000005)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7082630760d0>,0,,#e41a1c
2,uniform,2.841443678821708e-06,1.0,4008.0,(),"(1.0, 4008.0)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708263042790>,0,,#377eb8
3,gamma,3.026212985136352e-06,-705.2555266600903,538.4090497345921,"(4.855689620197097,)","(4.855689620197097, -705.2555266600903, 538.4090497345921)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708262f71550>,0,,#377eb8
4,maxwell,3.062313487813887e-06,-701.0752071329607,1639.507915275481,(),"(-701.0752071329607, 1639.507915275481)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708262f80f10>,0,,#4daf4a
5,lognorm,3.070304259899291e-06,-3141.7367448644386,4919.860418430096,"(0.22658325221318973,)","(0.22658325221318973, -3141.7367448644386, 4919.860418430096)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7082630bcb10>,0,,#984ea3
6,dweibull,3.1435912500340622e-06,1807.472035194454,1070.7990861942567,"(1.5775038746121335,)","(1.5775038746121335, 1807.472035194454, 1070.7990861942567)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708263047b90>,0,,#984ea3
7,norm,3.1653431537093246e-06,1904.6597719188114,1128.7620049376144,(),"(1904.6597719188114, 1128.7620049376144)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708262feec10>,0,,#ff7f00
8,t,3.1653438452436047e-06,1904.65964957869,1128.761198768166,"(622661.0369314449,)","(622661.0369314449, 1904.65964957869, 1128.761198768166)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708262f82210>,0,,#ff7f00
9,logistic,3.2242092992330352e-06,1864.0814011819405,682.0599271281567,(),"(1864.0814011819405, 682.0599271281567)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7082585394d0>,0,,#ffff33
10,expon,3.4841021936197935e-06,1.0,1903.6597719188114,(),"(1.0, 1903.6597719188114)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708263078290>,0,,#a65628
11,pareto,3.484102212219524e-06,-137438953471.0,137438953471.99998,"(72197225.98851939,)","(72197225.98851939, -137438953471.0, 137438953471.99998)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7082630b1690>,0,,#a65628
12,laplace,3.508146491515545e-06,1791.0,968.2686022180372,(),"(1791.0, 968.2686022180372)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708262f80c10>,0,,#f781bf
13,powerlognorm,6.223450893898204e-06,-58.106984056735996,7.8351498158689985,"(1.2477134899864467e-05, 0.013338427758622238)","(1.2477134899864467e-05, 0.013338427758622238, -58.106984056735996, 7.8351498158689985)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7082630bd3d0>,0,,#f781bf
14,genextreme,6.654345511303951e-06,2.507812293498066,7.7772003803105285,"(-5.157548966576998,)","(-5.157548966576998, 2.507812293498066, 7.7772003803105285)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708267740d90>,0,,#999999
15,powernorm,,-232.72913713054095,13.205248791226389,"(5.959686243657325e-05,)","(5.959686243657325e-05, -232.72913713054095, 13.205248791226389)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70824724f690>,0,,#999999
