   ,name         ,score                  ,loc                 ,scale                        ,arg                                         ,params                                                                             ,model                                                                             ,bootstrap_score ,bootstrap_pass ,color
 0 ,beta         ,6.795182461526112e-09  ,0.9999999999999949  ,       10110.407743319516    ,"(0.9608971612276223, 1.4930368841510693)"  ,"(0.9608971612276223, 1.4930368841510693, 0.9999999999999949, 10110.407743319516)" ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70827b2f7e10> ,              0 ,               ,#e41a1c
 1 ,powerlaw     ,1.9722604101583166e-08 ,0.9999999999999999  ,       10105.000000000002    ,"(0.7693565782903532,)"                     ,"(0.7693565782903532, 0.9999999999999999, 10105.000000000002)"                     ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70827ad4d5d0> ,              0 ,               ,#e41a1c
 2 ,gamma        ,3.4760038443559e-08    ,-124.08196477064368 ,        2471.643440255668    ,"(1.7080454313591051,)"                     ,"(1.7080454313591051, -124.08196477064368, 2471.643440255668)"                     ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70827ad6fc10> ,              0 ,               ,#377eb8
 3 ,uniform      ,4.779767079165369e-08  ,1.0                 ,       10105.0               ,()                                          ,"(1.0, 10105.0)"                                                                   ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70827b2f7b50> ,              0 ,               ,#377eb8
 4 ,pareto       ,4.873371317506982e-08  ,-549755813887.0     ,549755813887.99994           ,"(134198157.63265064,)"                     ,"(134198157.63265064, -549755813887.0, 549755813887.99994)"                        ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708262ec9690> ,              0 ,               ,#4daf4a
 5 ,expon        ,4.873371494366402e-08  ,1.0                 ,        4096.597349502291    ,()                                          ,"(1.0, 4096.597349502291)"                                                         ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708262ec8590> ,              0 ,               ,#984ea3
 6 ,lognorm      ,5.057916134720844e-08  ,-2841.5322509658495 ,        6382.342486019887    ,"(0.4168532241480245,)"                     ,"(0.4168532241480245, -2841.5322509658495, 6382.342486019887)"                     ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70827b2f7ed0> ,              0 ,               ,#984ea3
 7 ,maxwell      ,5.74080227115659e-08   ,-2100.6939739869795 ,        3917.316250132224    ,()                                          ,"(-2100.6939739869795, 3917.316250132224)"                                         ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70827ad72110> ,              0 ,               ,#ff7f00
 8 ,norm         ,6.979711036958826e-08  ,4097.597349502291   ,        2759.9427646157624   ,()                                          ,"(4097.597349502291, 2759.9427646157624)"                                          ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708262fe3910> ,              0 ,               ,#ff7f00
 9 ,t            ,6.979717913063253e-08  ,4097.596761689907   ,        2759.9410934923408   ,"(806404.2600444267,)"                      ,"(806404.2600444267, 4097.596761689907, 2759.9410934923408)"                       ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708262ecc810> ,              0 ,               ,#ffff33
10 ,logistic     ,7.656916697876408e-08  ,3956.0747382455997  ,        1659.9163163426747   ,()                                          ,"(3956.0747382455997, 1659.9163163426747)"                                         ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708281485610> ,              0 ,               ,#a65628
11 ,dweibull     ,7.885712656763055e-08  ,4397.608338414698   ,        2659.063687614075    ,"(1.6372670004236305,)"                     ,"(1.6372670004236305, 4397.608338414698, 2659.063687614075)"                       ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7082630995d0> ,              0 ,               ,#a65628
12 ,laplace      ,1.1300740354372607e-07 ,3733.0              ,        2359.0180715752886   ,()                                          ,"(3733.0, 2359.0180715752886)"                                                     ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708262ecc990> ,              0 ,               ,#f781bf
13 ,genextreme   ,3.77550420177546e-07   ,3.9148006853653166  ,          15.27400697895693  ,"(-5.239798457128435,)"                     ,"(-5.239798457128435, 3.9148006853653166, 15.27400697895693)"                      ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7082585394d0> ,              0 ,               ,#f781bf
14 ,powerlognorm ,4.934844224673297e-07  ,0.9967685488010634  ,           6.330763781888885 ,"(0.23406666446016255, 2.7476936708916657)" ,"(0.23406666446016255, 2.7476936708916657, 0.9967685488010634, 6.330763781888885)" ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708262eccad0> ,              0 ,               ,#999999
15 ,powernorm    ,                       ,-846.579958317114   ,          23.192100479357144 ,"(3.3565073832823354e-05,)"                 ,"(3.3565073832823354e-05, -846.579958317114, 23.192100479357144)"                  ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70827ad624d0> ,              0 ,               ,#999999
