,name,score,loc,scale,arg,params,model,bootstrap_score,bootstrap_pass,color
0,beta,2.441032599115112e-10,0.9999999999999999,175223.061925438,"(0.7872391787005166, 1.44342138235131)","(0.7872391787005166, 1.44342138235131, 0.9999999999999999, 175223.061925438)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70826572d2d0>,0,,#e41a1c
1,expon,4.290265637294995e-10,1.0,59902.66482671094,(),"(1.0, 59902.66482671094)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708272411790>,0,,#e41a1c
2,pareto,4.290265670166445e-10,-2192236146737.567,2192236146738.5667,"(36596638.939970665,)","(36596638.939970665, -2192236146737.567, 2192236146738.5667)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708265701690>,0,,#377eb8
3,gamma,4.75588518515271e-10,0.9546691349736085,58082.39451582836,"(1.031340267317613,)","(1.031340267317613, 0.9546691349736085, 58082.39451582836)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708272579550>,0,,#377eb8
4,powerlaw,5.201930373227296e-10,0.9999999999999999,175213.00000000003,"(0.6129378066141103,)","(0.6129378066141103, 0.9999999999999999, 175213.00000000003)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7082712acd10>,0,,#4daf4a
5,lognorm,1.336365324583815e-09,-9546.331857701358,51672.39762127956,"(0.824869368897345,)","(0.824869368897345, -9546.331857701358, 51672.39762127956)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7082712e7b90>,0,,#984ea3
6,powerlognorm,2.1243217009515283e-09,-2577.861057439495,2404.474679590394,"(0.0005470599485752844, 0.050370500243490365)","(0.0005470599485752844, 0.050370500243490365, -2577.861057439495, 2404.474679590394)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708271461d10>,0,,#984ea3
7,maxwell,2.3565798613997417e-09,-44648.8603469487,66508.24449977168,(),"(-44648.8603469487, 66508.24449977168)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708271470ad0>,0,,#ff7f00
8,uniform,2.581548904877505e-09,1.0,175213.0,(),"(1.0, 175213.0)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708271396350>,0,,#ff7f00
9,t,2.676954949157342e-09,59903.66443358499,48361.235949197755,"(61764786.55071103,)","(61764786.55071103, 59903.66443358499, 48361.235949197755)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708271394d10>,0,,#ffff33
10,norm,2.676954953374746e-09,59903.66482671094,48361.23628208117,(),"(59903.66482671094, 48361.23628208117)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708271b33ad0>,0,,#a65628
11,logistic,2.6821495677607743e-09,55609.33893335952,28534.202320595214,(),"(55609.33893335952, 28534.202320595214)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708271b614d0>,0,,#a65628
12,dweibull,2.770353388220515e-09,64281.309560985144,46139.56792559184,"(1.603428122226747,)","(1.603428122226747, 64281.309560985144, 46139.56792559184)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70828133e310>,0,,#f781bf
13,laplace,3.1379230733394626e-09,49665.0,40383.12227251825,(),"(49665.0, 40383.12227251825)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7082712dc990>,0,,#f781bf
14,genextreme,1.056705841935305e-08,4.393940620387898,23.546471234241046,"(-6.937793079363418,)","(-6.937793079363418, 4.393940620387898, 23.546471234241046)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708263047b90>,0,,#999999
15,powernorm,,-21451.5171441189,329.29569926660906,"(2.4186183940876286e-05,)","(2.4186183940876286e-05, -21451.5171441189, 329.29569926660906)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708271b47690>,0,,#999999
